Tags	Traveler Usefulness (1-10)	English	Romanji	Japanese
Responding to Thanks; Gratitude	6	"(Response to ""Thank you very much"") It's no big deal."	Iie, iie.	いいえ、いいえ。
Gratitude; Expressing Thanks (Specific)	4	Thank you for paying for my lunch.	O-hirugohan, arigatogozaimasu.	お昼ご飯、ありがとうございます。
Responding to Thanks; Gratitude	5	No, thank you! (The pleasure is mine)	Tondemonai desu. / Kochira koso.	とんでもないです。 / こちらこそ。
Responding to Thanks; Gratitude	5	I should be thanking you.	Kochira koso.	こちらこそ。
Requests; General	10	Please give me this.	Kore kudasai.	これください。
Requests; General	10	Please give me that.	Sore kudasai.	それください。
Requests; Formal	10	Please take care of this. / Please take this on. (polite form)	O-negai shimasu.	お願いします。
Requests; Casual	7	Please! (casual form)	O-negai.	お願い！
Common Responses; Disagreement / Correction	7	It's wrong.	Chigaimasu.	違います。
Greeting Customers; Shopping & Restaurants	9	May I help you?	Irasshaimase.	いらっしゃいませ。
Making a Selection; Shopping & Restaurants	10	I'll take this.	Kore kudasai.	これください。
Shopping & Restaurants; Buying Tickets	10	Two tickets please.	Ni mai kippu wo kudasai.	二枚切符をください。
Food & Drink; Questions	6	Is that Japanese tea?	Sore wa nihon-cha desu ka.	それは日本茶ですか？
Questions; Ownership	5	Huh? Is this mine?	Are? Kore wa watashi no desu ka.	あれ？これは私のですか？
Requests; Food & Drink	10	Can I have some water, please?	Mizu o kudasai.	水をください。
Common Responses; Disagreement / Correction	7	That's not right.	Sore wa chigaimasu.	それは違います。
Requests; Social	2	Your signature (autograph), please.	Sain wo onegai shimasu.	サインをお願いします。
Paying the Bill; Shopping & Restaurants	10	Check, please.	O-kaikei o-negai shimasu.	お会計をお願いします。
Ordering; Shopping & Restaurants	8	What would you like?	Dore ni shimasu ka.	どれにしますか？
Making a Selection; Shopping & Restaurants	10	I'll take that.	Sore kudasai.	それください。
Requests; Items	9	Please give me the map.	Chizu o kudasai.	地図をください。
Common Responses; Disagreement / Correction	6	You have the wrong one.	Chigaimasu.	違います。
Time of Day; Greetings	10	Good morning.	O-hayo gozaimasu.	おはようございます。
Time of Day; Greetings	10	Good afternoon.	Konnichi wa.	こんにちは。
Time of Day; Greetings	10	Good evening.	Konban wa.	こんばんは。
Responding; Greetings	5	Thanks to you.	O-kage sama de.	おかげさまで。
Well-being; Greetings	7	How are you? (Are you doing well?)	O-genki desu ka?	お元気ですか？
Formal; Greetings	6	Good morning, Teacher.	Sensei, ohayo gozaimasu.	先生、おはようございます。
Formal; Greetings	7	Hello, Mr./Ms. Sakai.	Sakai-san, konnichiwa.	坂井さん、こんにちは。
Formal; Greetings	7	Good evening, Mr/Ms. Smith.	Sumisu-san, konbanwa.	スミスさん、こんばんは。
Weather; Small Talk	6	It's hot today.	Kyo wa atsui desu.	今日は暑いです。
Well-being; Greetings	6	Fine, thanks for asking.	O-kage sama de.	おかげさまで。
Identity; Questions	5	Are you Mr. Tanaka?	Tanaka-san desu ka.	田中さんですか？
Common Responses; Well-being	6	I'm great!	Hai, sugoku genki desu.	はい、すごく元気です。
Descriptions; People	2	Mr./Ms. Yamada is an energetic person.	Yamada-san wa genki na hito desu.	山田さんは元気な人です。
Weather; Small Talk	6	Today is sunny, isn't it?	Konnichi wa hare desu ne.	今日は晴れですね。
Weather; Small Talk	6	Tonight is chilly.	Konban wa samui desu ne.	今晩は寒いですね。
General; Farewells	9	Goodbye.	Sayonara.	さようなら。
Formal; Farewells	8	Excuse me. (polite form)	Shitsurei shimasu.	失礼します。
Formal; Farewells	7	Excuse me. (more polite form)	Shitsurei itashimasu.	失礼いたします。
Workplace; Farewells	3	Goodbye. (used among colleagues)	Otsukaresama deshita.	お疲れ様でした。
Farewells; Casual	5	Bye bye, Maki!	Baibai, Maki-chan.	バイバイ、マキちゃん。
Formal; Farewells	7	Excuse me, I'm leaving.	Sore dewa shitsurei shimasu.	それでは失礼します。
Workplace; Farewells	3	I'm leaving. Goodbye!	O-saki ni shiturei shimasu. O-tsukare-sama deshita.	お先に失礼します。お疲れ様でした。
Farewells; On the Phone	2	I am about to speak.	Moshimasu moshimasu.	申します申します。
Farewells; Making Plans	4	So I'll see you Sunday.	Ja or dewa, Sayonara.	じゃあ、日曜日ね。さようなら。
Workplace; Farewells	3	It's been a long hard day.	Otsukaresama deshita.	お疲れ様でした。
Locations; Asking for Directions	10	Where is the bathroom?	Toire wa doko desu ka?	トイレはどこですか？
Transportation; Asking for Directions	10	Where is the taxi stand?	Takushinoriba wa doko ni arimasu ka.	タクシー乗り場はどこにありますか。
People; Questions	3	Is that person a man or a woman?	Ano hito wa otoko desu ka, onna desu ka.	あの人は男ですか、女ですか？
Descriptions; People	2	Masami is a man.	Masami-san wa otoko no hito desu.	まさみさんは男の人です。
Getting Attention; Communication Help	10	Excuse me.	Sumimasen.	すみません。
Lack of Understanding; Communication Help	10	I don't understand.	Wakarimasen.	わかりません。
Lack of Understanding; Communication Help	9	I don't understand Japanese.	Nihongo wa wakarimasen.	日本語は分かりません。
Lack of Understanding; Communication Help	8	I don't understand what this Japanese means.	Kono nihongo wa wakarimasen.	この日本語は分かりません。
Asking for Assistance; Communication Help	8	Do you have a Spanish information guide?	Supein-go no gaido arimasu ka.	スペイン語のガイドありますか？
Lack of Understanding; Communication Help	10	Excuse me. I don't understand.	Sumimasen. Wakarimasen.	すみません。分かりません。
Locations; Asking for Directions	10	Where is Shibuya station?	Shibuya eki wa doko desu ka?	渋谷駅はどこですか？
Communication Help; Language Ability	10	Can you speak English?	Eigo o hanasemasu ka?	英語を話せますか？
Repetition; Communication Help	9	Can you say it again?	Mo ichido itte kudasai?	もう一度言ってください？
Communication Help; Language Ability	10	Can you speak English?	Eigo o hanasemasu ka?	英語を話せますか？
Communication Help; Language Ability	7	Can you speak Spanish?	Supein-go o hanasemasu ka?	スペイン語を話せますか？
Communication Help; Language Ability	7	Can you speak French?	Furansu-go o hanasemasu ka?	フランス語を話せますか？
Communication Help; Language Ability	2	He speaks French.	Kare wa Furansu-go o hanasu.	彼はフランス語を話す。
Communication Help; Language Ability	9	English okay?	Eigo okay?	英語オッケー？
Repetition; Communication Help	9	Can you say it again?	Mo ichido itte kudasai.	もう一度言ってください。
Pace; Communication Help	9	Please speak slowly.	Yukkuri hanashite kudasai.	ゆっくり話してください。
Common Phrases; Status	4	That was already finished.	Mo, sore wa owarimashita yo.	もう、それは終わりましたよ。
Repetition; Communication Help	9	What? Could you say that again?	E? Mo ichi-do onegai shimasu.	え？もう一度お願いします。
Requests; Prohibitions	3	Please don't say anything.	Nani mo iwanaide kudasai.	何も言わないでください。
Communication Help; Language Ability	2	He speaks English and Japanese.	Kare wa Ei-go to Nihon-go o hanashimasu.	彼は英語と日本語を話します。
Repetition; Communication Help	9	Once again.	Mo Ichido.	もう一度。
Pace; Communication Help	9	Slowly.	Yukkuri.	ゆっくり。
Repetition; Communication Help	9	Again, say, please.	Mo ichido itte kudasai.	もう一度言ってください。
Pace; Communication Help	9	Slowly, speak, please.	Yukkuri hanashite kudasai.	ゆっくり話してください。
Repetition; Communication Help	8	Mo ichido, please.	Mo ichido, please.	もう一度、プリーズ。
Pace; Communication Help	8	Yukkuri, please.	Yukkuri, please.	ゆっくり、プリーズ。
Apologies; General	10	Excuse me.	Sumimasen.	すみません。
Apologies; General	9	Sorry.	Gomennasai.	ごめんなさい。
Apologies; Reassurance	6	No, no don't worry.	Iie iie.	いいえいいえ。
Apologies; Formal	7	Excuse me. (polite form)	Shitsurei itashimashita.	失礼いたしました。
For Lateness; Apologies	6	I'm sorry I'm late.	Osoku natte gomen nasai.	遅くなってごめんなさい。
Common Responses; Reassurance	7	That's fine.	Iie iie.	いいえいいえ。
Common Responses; Reassurance	7	Don't worry about it.	Iie iie.	いいえいいえ。
Polite Expressions; Getting Attention	8	Um, I was wondering if I can get someone here.	Sumimasen.	すみません。
Polite Expressions; Getting Attention	8	Excuse me. (to get attention)	Excuse me.	エクスキューズミー。
Greeting Customers; Shopping & Restaurants	9	Welcome to our store.	Irasshaimase.	いらっしゃいませ。
Greeting Customers; Shopping & Restaurants	8	Welcome. (shorter, casual form)	Irasshai.	いらっしゃい。
Shopping & Restaurants; Thanking Customers	8	Thank you very much (for having shopped here.)	Arigato gozaimashita.	ありがとうございました。
Shopping & Restaurants; Thanking Customers	7	Thank you for visiting us today. (at shop)	Honjitsu wa go-raiten arigato gozaimashita.	本日はご来店ありがとうございました。
Greeting Customers; Shopping & Restaurants	8	Good evening. May I help you?	Konbanwa. Irasshaimase.	こんばんは。いらっしゃいませ。
Farewell to Customers; Shopping & Restaurants	7	Please come again.	Mata oide kudasai.	またおいでください。
Farewell to Customers; Shopping & Restaurants	6	We look forward to seeing you again.	Mata no go-raiten o machi shite orimasu.	またのご来店をお待ちしております。
Greeting & Seating; At a Restaurant	9	Welcome.	Irasshaimase.	いらっしゃいませ。
Greeting & Seating; At a Restaurant	10	How many people in your party?	Nan-mei sama desu ka?	何名様ですか？
Ordering; At a Restaurant	8	Are you ready to order, sir/ma'am?	O-kyaku-sama, go-chumon wa?	お客様、ご注文は？
Greeting & Seating; At a Restaurant	9	Two adults and one child.	Otona ni-mei, kodomo ichi-mei.	大人二名、子供一名。
Greeting & Seating; At a Restaurant	10	Two people.	Ni mei.	二名。
Greeting & Seating; At a Restaurant	10	Four people.	Yon mei.	四名。
Greeting & Seating; At a Restaurant	8	Which do you prefer, smoking or non-smoking?	Kin'en, kitsuen, dochira ni shimasu ka?	禁煙、喫煙、どちらにしますか？
At a Restaurant; Asking for Permission	6	May I? Is this alright?	Ii desu ka.	いいですか？
Stating Preferences; At a Restaurant	8	I don't want to sit in the smoking section.	Kitsuenseki ni suwaritakunai desu.	喫煙席に座りたくないです。
Ordering; At a Restaurant	8	Would you like rice or bread?	Raisu to pan, dochira ga ii desu ka.	ライスとパン、どちらがいいですか？
Stating Preferences; At a Restaurant	9	Non-smoking.	Kin'en.	禁煙。
Stating Preferences; At a Restaurant	9	Smoking.	Kitsuen.	喫煙。
Greeting & Seating; At a Restaurant	9	Two people, non-smoking.	Ni-mei kin'en.	二名、禁煙。
Questions; Asking for Permission	6	Is it alright?	Ii desu ka?	いいですか？
Getting Attention; At a Restaurant	10	Excuse me.	Sumimasen.	すみません。
Ordering; At a Restaurant	10	Please give me this.	Kore kudasai.	これください。
Ordering; At a Restaurant	9	What do you recommend?	Nani ga o-susume desu ka.	何がおすすめですか。
Ordering; At a Restaurant	8	What are you ordering?	Go-chumon wa?	ご注文は？
Ordering; At a Restaurant	7	Start with your drink order, please.	O-nomimono kara.	お飲み物から。
Ordering; At a Restaurant	10	Can I have some water, please?	Mizu o kudasai.	水をください。
Ordering; At a Restaurant	8	What would you like to drink?	Nani o nomimasu ka.	何を飲みますか。
Ordering; At a Restaurant	9	What do you recommend?	O-susume wa nan desu ka.	おすすめは何ですか？
Ordering; At a Restaurant	9	Tempura, please.	Tempura kudasai.	天ぷらください。
Ordering; At a Restaurant	7	Starting from your drinks, Sir.	Onomimono kara.	お飲み物から。
Ordering; At a Restaurant	8	Your order is?	Go-chumon wa?	ご注文は？
Ordering; At a Restaurant	9	Beer.	Biru.	ビール。
Ordering; At a Restaurant	9	Coffee.	Kohi.	コーヒー。
Ordering; At a Restaurant	9	Coca cola.	Coca cola.	コカコーラ。
Ordering; At a Restaurant	9	English tea.	Kocha.	紅茶。
Paying the Bill; At a Restaurant	10	Excuse me.	Sumimasen.	すみません。
Paying the Bill; At a Restaurant	10	Check please.	Kaikei o-negai shimasu.	会計お願いします。
Paying the Bill; At a Restaurant	8	Please take care of it.	Onegai shimasu.	お願いします。
After the Meal; At a Restaurant	8	Thank you for the wonderful meal.	Gochisosama deshita.	ごちそうさまでした。
Before the Meal; At a Restaurant	8	I am about to have this wonderful meal.	Itadakimasu.	いただきます。
Descriptions; Food	4	British cookies are delicious.	Igirisu no kukki wa oishii.	イギリスのクッキーはおいしい。
Paying the Bill; At a Restaurant	9	Separate checks, please.	Betsubetsu de o-negai shimasu.	別々でお願いします。
Descriptions; Food	7	It was delicious.	Oishikatta.	おいしかった。
Paying the Bill; At a Restaurant	7	Paying in a lump sum?	Ikkatsu de yoroshii desu ka?	一括でよろしいですか？
Common Responses; Agreement	7	Okay. / Good.	Ii desu.	いいです。
Common Responses; Reassurance	7	No, no, that's fine.	Iie, iie.	いいえ、いいえ。
Common Responses; Reassurance	7	Don't worry about it.	Iie, iie.	いいえ、いいえ。
Habits; Food	2	I drink a glass of water everyday.	Maiasa, mizu o i-ppai nomimasu.	毎朝、水を一杯飲みます。
Counting; People	9	Two adults and one child.	Otona ni-mei, kodomo ichi-mei.	大人二名、子供一名。
Counting; People	10	How many people are in your party?	Nan-mei-sama desu ka.	何名様ですか。
Counting; People	8	Ten people.	Ju-nin desu.	十人です。
Objects; Counting	8	I'll buy nine biscuits.	Bisuketto o kyu-ko kaimasu.	ビスケットを九個買います。
Objects; Counting	2	There are eight pens on the table.	Hachihon(happon) no borupen ga teburu no ue ni arimasu.	八本（はっぽん）のボールペンがテーブルの上にあります。
Counting; Food & Drink	8	Seven glasses of beer and eight glasses of sake, please.	Biru nanahai to, sake happai wo kudasai.	ビール七杯と、酒八杯をください。
Counting; Food & Drink	8	Six glasses of sake, please.	O-sake wo roppai o-negai shimasu.	お酒を六杯お願いします。
Counting; People	9	Do you have five people in your party?	Go-mei-sama desu ka.	五名様ですか？
Objects; Counting	10	Four tickets, please.	Kippu o yon-mai kudasai.	切符を四枚ください。
Counting; Food & Drink	9	Three cups of coffee, please.	Kohi wo san bai kudasai.	コーヒーを三杯ください。
Objects; Counting	10	Two of these, please.	Kore o ni-ko kudasai.	これを二個ください。
Objects; Counting	10	One ticket.	Ichi mai.	一枚。
Counting; People	10	Two people.	Ni mei.	二名。
Counting; People	10	Four people.	Yon mei.	四名。
Counting; Food & Drink	9	One cup.	Ippai.	一杯。
Counting; Food & Drink	9	Two cups.	Nihai.	二杯。
Counting; Food & Drink	9	Three cups.	Sanbai.	三杯。
Counting; Food & Drink	9	Please give me two glasses of sake.	Sake ni hai kudasai.	酒二杯ください。
Objects; Counting	9	One piece.	Ikko.	一個。
Objects; Counting	9	Two pieces.	Niko.	二個。
Objects; Counting	9	Three pieces.	Sanko.	三個。
Asking Prices; Shopping & Money	10	How much?	Ikura desu ka?	いくらですか？
Asking Prices; Shopping & Money	10	How much is this?	Kore wa ikura desu ka?	これはいくらですか？
Asking Prices; Shopping & Money	10	How much is that?	Sore wa ikura desu ka?	それはいくらですか？
Shopping & Money; Commenting on Price	7	It's cheap, isn't it?	Yasui desu ne.	安いですね。
Shopping & Money; Commenting on Price	7	It's expensive, isn't it?	Takai desu ne.	高いですね。
Shopping & Money; Paying	8	How much is the change?	Otsuri wa ikura desu ka.	お釣りはいくらですか？
Shopping & Money; Commenting on Price	3	Pork is cheap.	Butaniku wa yasui desu.	豚肉は安いです。
Shopping & Money; Commenting on Price	3	Diamonds are expensive.	Daiyamondo wa takai desu.	ダイヤモンドは高いです。
Asking Prices; Shopping & Money	10	How much?	Ikura?	いくら？
Bargaining; Shopping & Money	7	Please lower the price.	Makete kudasai.	負けてください。
Bargaining; Shopping & Money	6	At the other store, (they offered) 5000 yen.	Acchi no o-mise de wa 5000-en.	あっちのお店では5000円。
Bargaining; Shopping & Money	7	Please give more discount on an ipod!	Kono aipoddo, motto makete kudasai.	このアイポッド、もっと負けてください。
Requests; Food & Drink	6	Please have some more.	Motto tabete kudasai.	もっと食べてください。
Shopping & Money; Commenting on Price	6	That store is cheap.	Ano o-mise wa yasui.	あの店は安いです。
Shopping & Money; Commenting on Price	6	That store over there is expensive.	Atchi no o-mise wa takai.	あっちの店は高い。
Shopping & Money; Currency Exchange	8	How much yen is it to one dollar?	1-doru wa nan-en desu ka.	1ドルは何円ですか。
Bargaining; Shopping & Money	7	Please give me a discount.	Makete kudasai.	負けてください。
Bargaining; Shopping & Money	7	Bigger discount.	Motto makete kudasai.	もっと負けてください。
Common Responses; Agreement	7	Okay. / Good.	Ii desu.	いいです。
Bargaining; Shopping & Money	5	Please lower the price. (Osaka dialect)	Makete kuren ka?	負けてくれんか？
Bargaining; Shopping & Money	6	The other store.	Atchi no o-mise.	あっちのお店。
Shopping & Money; Currency Exchange	8	How many yen is it to one dollar?	1-doru wa nan-en desu ka.	1ドルは何円ですか。
General; Money	1	I picked up a 100 yen coin off the street.	Hyaku-en wo michi de hiroimashita.	百円を道で拾いました。
Transportation Cards; Money	9	Can I have a one thousand yen Suica card, please.	Sen-en no suika wo kudasai.	千円のスイカをください。
Costs & Fares; Money	7	It costs about 10,000 yen for a bullet train from Tokyo to Niigata.	Tokyo kara Nigata made, shinkansen de daitai ichi-man-en desu.	東京から新潟まで、新幹線でだいたい一万円です。
Common Phrases; Relationships	1	I think there is a special connection between you and me.	Watashi to anata niwa tokubetsu na go-en ga aru to omoimasu.	私とあなたには特別なご縁があると思います。
General; Money	1	I collect five yen coins.	Goendama wo atsumeru.	五円玉を集める。
Numbers; Money	8	Six, ten, eight (68).	Roku-ju-hachi.	六十八。
Stating Price; Money	9	It's 68 yen.	Roku-ju-hachi-en desu.	六十八円です。
Numbers; Money	8	Five hundred.	Go-hyaku.	五百。
Numbers; Money	8	Three hundred.	San-byaku.	三百。
Numbers; Money	8	Six hundred.	Ro-ppyaku.	六百。
Numbers; Money	8	Eight hundred.	Ha-ppyaku.	八百。
Currency; Money	9	One thousand yen.	Sen-en.	千円。
Currency; Money	9	Two thousand yen.	Ni-sen-en.	二千円。
Currency; Money	9	Five thousand yen.	Go-sen-en.	五千円。
Currency; Money	9	Ten thousand yen.	Ichi-man-en.	一万円。
Currency; Money	9	Twenty thousand yen.	Ni-man-en.	二万円。
WiFi; Internet & Technology	9	Does this store have WiFi?	Kono o-mise ni wa Wai Fai arimasu ka?	このお店にはWIFIありますか？
Internet & Technology; Internet Cafe	7	Where is an internet cafe or manga cafe?	Netto cafe aruiwa manga kissa wa doko desu ka?	ネットカフェあるいは漫画喫茶はどこですか？
Access; Internet & Technology	8	How do I access the Internet?	Netto ni wa do yatte setsuzoku shimasu ka?	ネットにはどうやって接続しますか？
Internet & Technology; Login	8	Username and password please.	Yuzanemu to pasuwado o onegai shimasu.	ユーザーネームとパスワードをお願いします。
Internet & Technology; Internet Cafe	5	I'll go to a net cafe.	Nettokafe ni iku.	ネットカフェに行く。
Internet & Technology; Login	7	The password is 0000.	Pasuwado wa 0000 desu.	パスワードは0000です。
Internet & Technology; Login	8	User name and password please.	Yuza nemu to pasuwado wo onegai shimasu.	ユーザーネームとパスワードをお願いします。
Hobbies; Sports	2	Do you golf?	Gorufu o shimasu ka.	ゴルフをしますか。
Access; Internet & Technology	4	I'll connect the internet with a new PC.	Atarashi pasokon de netto ni setsuzoku suru.	新しいパソコンでネットに接続する。
Allergies; Health	9	I have allergies.	Arerugi ga arimasu.	アレルギーがあります。
Stating Price; Shopping & Money	9	This bag is 3000 yen including tax.	Kono kaban wa zeikomi 3000-en desu.	この鞄は税込み3000円です。
Transportation; Asking for Directions	10	Where is the taxi stand?	Takushinoriba wa doko ni arimasu ka.	タクシー乗り場はどこにありますか。
Food & Drink; Questions	7	Would you like tea or coffee?	Kocha ga ii desu ka, aruiwa kohi ga ii desu ka.	紅茶がいいですか、あるいはコーヒーがいいですか。
Internet & Technology; Internet Cafe	4	I sleep at a manga cafe.	Mangakissa de neru.	漫画喫茶で寝る。
Requests; Social	2	Your signature (autograph), please.	Sain wo onegai shimasu.	サインをお願いします。
Internet & Technology; Internet Cafe	6	Net cafe or manga cafe.	Netto cafe aruiwa manga kissa.	ネットカフェあるいは漫画喫茶。
Shopping & Money; Business Hours	7	It's open 24 hours a day.	Nijū-yon-jikan aiteimasu.	24時間開いています。
Prices; Shopping & Money	6	It's 400 yen to 500 yen per hour.	Yonhyaku-en kara gohyaku-en desu.	400円から500円です。
Internet & Technology; Vocabulary	8	Internet.	Intanetto.	インターネット。
Internet & Technology; Vocabulary	5	Manga.	Manga.	漫画。
Transportation; Buying Tickets	10	One ticket to Narita Airport, please.	Narita kuko made no kippu o ichi-mai kudasai.	成田空港までの切符を一枚ください。
Transportation; Bus	10	Where is the bus stop?	Basu tei wa doko desu ka?	バス停はどこですか？
Transportation; Bus	9	I'll get off at the next bus stop.	Watashi wa, tsugi no basutei de orimasu.	私は、次のバス停で降ります。
Transportation; Fares	9	How much does it cost to go to Narita airport?	Narita Kuko made ikura desu ka.	成田空港までいくらですか。
Transportation; Buying Tickets	10	Four tickets, please.	Kippu o yon-mai kudasai.	切符を四枚ください。
Transportation; Buying Tickets	10	Two tickets to Narita Airport, please.	Narita kuko made no kippu o ni mai kudasai.	成田空港までの切符を二枚ください。
Transportation; Bus	9	Where is the next bus stop?	Tsugi no basutei wa doko desu ka?	次のバス停はどこですか？
Transportation; Bus	9	Is Narita Airport the next stop?	Narita kuko wa tsugi desu ka?	成田空港は次ですか？
Requests; Information	9	Please tell me.	Oshiete kudasai.	教えてください。
Transportation; Taxi	10	Where is the taxi stand?	Takushinoriba wa doko ni arimasu ka.	タクシー乗り場はどこにありますか。
Transportation; Train	9	The next station is Osaka.	Tsugi no eki wa Osaka desu.	次の駅は大阪です。
Transportation; Bus	9	I'll get off at the next bus stop.	Watashi wa, tsugi no basutei de orimasu.	私は、次のバス停で降ります。
Transportation; Train	10	Where is the ticket gate?	Kaisatsu wa doko desu ka.	改札はどこですか。
Transportation; Airport	6	There are no flights leaving the airport today, due to the stormy weather.	Arashi no eikyo de kyo no furaito wa subete kyanseru saremashita.	嵐の影響で今日のフライトはすべてキャンセルされました。
Transportation; Airport	9	Please tell me how to get to Narita airport.	Narita kuko no ikikata o oshiete kudasai.	成田空港の行き方を教えてください。
Transportation; Buying Tickets	10	A ticket to Tokyo Station, please.	Tokyo eki made no kippu o kudasai.	東京駅までの切符をください。
Transportation; Buying Tickets	10	Four tickets, please.	Kippu o yon-mai kudasai.	切符を四枚ください。
Transportation; Buying Tickets	10	One ticket to Tokyo Station please.	Tokyo eki made no kippu wo ichi-mai kudasai.	東京駅までの切符を一枚ください。
Transportation; Buying Tickets	10	Tickets to Osaka Station, please.	Osaka eki made no kippu o kudasai.	大阪駅までの切符をください。
Transportation; Buying Tickets	10	Two tickets please.	Ni mai kippu wo kudasai.	二枚切符をください。
Introductions; Origin	6	My hometown is Tokyo.	Jimoto wa Tokyo desu.	地元は東京です。
Transportation; Train	4	The bullet train is slowly losing speed.	Shinkansen ga yukkuri to sokudo o otoshite iku.	新幹線がゆっくりと速度を落としていく。
Local Specialties; Food	8	Local delicacies.	Jimoto no gochiso.	地元の御馳走。
Local Specialties; Food	8	What are the local delicacies?	Jimoto no gochiso wa?	地元の御馳走は？
Transportation; Train	10	Will this train go to Tokyo Station?	Tokyo eki made ikimasu ka?	東京駅まで行きますか？
Transportation; Train	9	The next station is Osaka.	Tsugi no eki wa Osaka desu.	次の駅は大阪です。
Transportation; Bus	10	Does this bus go to Narita?	Kono basu wa Narita ni ikimasu ka.	このバスは成田に行きますか。
Offering; Polite Expressions	7	Please take it.	Dozo.	どうぞ。
Transportation; On the Phone	4	On the train; call you back.	Densha ni iru; ato de denwa suru.	電車にいる；後で電話する。
Transportation; Taxi	10	I would like to go to Tokyo Station.	Tokyo eki e onegai shimasu.	東京駅へお願いします。
Requests; Items	9	I would like a map.	Chizu onegai shimasu.	地図お願いします。
Transportation; Taxi	9	Please get me a taxi.	Takushi o onegai shimasu.	タクシーをお願いします。
Transportation; Taxi	10	Where is the taxi stand?	Takushi noriba wa doko desu ka?	タクシー乗り場はどこですか？
Introductions; Origin	7	I'm from Tokyo.	Shusshin wa Tokyo desu.	出身は東京です。
Transportation; Buying Tickets	10	One ticket to Tokyo Station please.	Tokyo eki made no kippu wo ichi-mai kudasai.	東京駅までの切符を一枚ください。
Requests; Social	2	Your signature (autograph), please.	Sain o onegai shimasu.	サインをお願いします。
Transportation; Taxi	10	Where is the taxi terminal?	Takushinoriba wa doko ni arimasu ka.	タクシー乗り場はどこにありますか。
Transportation; Taxi	10	Excuse me. Where's the taxi stand?	Sumimasen. Takushi noriba wa....	すみません。タクシー乗り場は...。
Introductions; Personal Information	5	What's your address?	Jusho wa doko desu ka.	住所はどこですか。
Travel; Duration	4	It takes 12 hours to go to Paris from Tokyo.	Tokyo kara pari made ju ni-jikan kakarimasu.	東京からパリまで十二時間かかります。
Finding Items; Shopping	8	Where can I buy manga?	Manga wa doko de kaemasu ka?	漫画はどこで買えますか？
Hobbies; Reading	4	What is your favorite manga?	Sukina manga wa nan desu ka.	好きな漫画は何ですか。
Transportation; Asking for Directions	10	Where is the taxi stand?	Takushinoriba wa doko ni arimasu ka.	タクシー乗り場はどこにありますか。
General; Shopping	1	He will buy a house next to the river for his dog.	Kare wa kawazoi no ie o inu no tame ni kau tsumori desu.	彼は川沿いの家を犬のために買うつもりです。
Groceries; Shopping	3	Why don't you buy more groceries next time?	Tsugi wa mo chotto shokuryo o katta ho ga ii n ja nai?	次はもう少し食料を買ったほうがいいんじゃない？
